trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final
  1.00000,   0.00009,   0.00000,   5.13867,  10.89044,   0.61496,  18.74079,  10.35242,   5.13914,  18.78320,  10.29760,   7.29280,   0.00000,   0.00000,   0.00000,   1.00000,   0.00009,   0.00000,   4.08979, -10.75352,   0.62683,  18.90422,   9.36923,   4.85267,  19.36317,   9.53412,   7.12597,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.00926,   2.00000,   5.13867,  10.89047,   0.61515,  18.74079,  10.35245,   5.13932,  18.78320,  10.29763,   7.29261,   0.00000,   0.00000,   0.00000,   1.00000,   0.00926,   2.00000,   4.08989, -10.75369,   0.62696,  18.90412,   9.36940,   4.85281,  19.36307,   9.53429,   7.12583,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.00968,   3.00000,   5.13854,  10.89052,   0.61526,  18.74092,  10.35250,   5.13943,  18.78333,  10.29768,   7.29250,   0.00000,   0.00000,   0.00000,   1.00000,   0.00968,   3.00000,   4.08999, -10.75385,   0.62706,  18.90403,   9.36956,   4.85291,  19.36298,   9.53445,   7.12573,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01379,   4.00000,   5.13850,  10.89047,   0.61537,  18.74096,  10.35245,   5.13954,  18.78337,  10.29764,   7.29239,   0.00000,   0.00000,   0.00000,   1.00000,   0.01379,   4.00000,   4.08999, -10.75407,   0.62705,  18.90402,   9.36979,   4.85290,  19.36298,   9.53467,   7.12574,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.01797,   5.00000,   5.13850,  10.89045,   0.61548,  18.74096,  10.35243,   5.13966,  18.78337,  10.29762,   7.29228,   0.00000,   0.00000,   0.00000,   1.00000,   0.01797,   5.00000,   4.09006, -10.75426,   0.62718,  18.90396,   9.36998,   4.85303,  19.36291,   9.53487,   7.12561,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02205,   6.00000,   5.13838,  10.89050,   0.61542,  18.74107,  10.35248,   5.13959,  18.78348,  10.29766,   7.29234,   0.00000,   0.00000,   0.00000,   1.00000,   0.02205,   6.00000,   4.09021, -10.75449,   0.62716,  18.90380,   9.37021,   4.85301,  19.36276,   9.53510,   7.12563,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.02631,   7.00000,   5.13843,  10.89046,   0.61543,  18.74102,  10.35244,   5.13961,  18.78344,  10.29762,   7.29233,   0.00000,   0.00000,   0.00000,   1.00000,   0.02631,   7.00000,   4.09029, -10.75479,   0.62718,  18.90373,   9.37050,   4.85302,  19.36268,   9.53539,   7.12562,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03040,   8.00000,   5.13846,  10.89046,   0.61544,  18.74099,  10.35244,   5.13961,  18.78341,  10.29762,   7.29232,   0.00000,   0.00000,   0.00000,   1.00000,   0.03040,   8.00000,   4.09042, -10.75501,   0.62717,  18.90360,   9.37072,   4.85302,  19.36255,   9.53561,   7.12562,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03465,   9.00000,   5.13844,  10.89044,   0.61538,  18.74101,  10.35242,   5.13955,  18.78343,  10.29761,   7.29238,   0.00000,   0.00000,   0.00000,   1.00000,   0.03465,   9.00000,   4.09046, -10.75531,   0.62723,  18.90356,   9.37103,   4.85308,  19.36251,   9.53591,   7.12556,   0.00000,   0.00000,   0.00000, 
  1.00000,   0.03877,  10.00000,   5.13847,  10.89039,   0.61533,  18.74099,  10.35237,   5.13950,  18.78340,  10.29756,   7.29243,   0.00000,   0.00000,   0.00000,   1.00000,   0.03877,  10.00000,   4.09050, -10.75561,   0.62712,  18.90351,   9.37133,   4.85297,  19.36247,   9.53621,   7.12567,   0.00000,   0.00000,   0.00000, 
