trial , timeA , frameA , yA , zA , xA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , frameB , yB , zB , xB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,waitTime,instructedTarget
  1.00000,   0.00009,   0.00000,   4.56597,   9.98716,  -0.63444,  18.88144,  10.11961,   4.70053,  18.62786,   9.99473,   5.82855,   0.00000,   0.00000,   0.00000,   1.00000,   0.00009,   0.00000,   3.84075, -10.85488,  -0.09977,  19.66899,   9.40405,   4.57145,  18.93556,   9.53300,   5.13143,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00086, 242.00000,   4.56493,   9.96414,  -0.63450,  18.88247,  10.09659,   4.70047,  18.62889,   9.97171,   5.82860,   0.00000,   0.00000,   0.00000,   1.00000,   0.00086, 242.00000,   3.84220, -10.85462,  -0.10171,  19.66754,   9.40379,   4.56951,  18.93411,   9.53274,   5.13337,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00196, 243.00000,   4.56495,   9.96454,  -0.63483,  18.88246,  10.09699,   4.70015,  18.62888,   9.97211,   5.82893,   0.00000,   0.00000,   0.00000,   1.00000,   0.00196, 243.00000,   3.84227, -10.85463,  -0.10171,  19.66747,   9.40380,   4.56951,  18.93404,   9.53274,   5.13337,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.00614, 244.00000,   4.56513,   9.96493,  -0.63478,  18.88228,  10.09737,   4.70020,  18.62870,   9.97250,   5.82888,   0.00000,   0.00000,   0.00000,   1.00000,   0.00614, 244.00000,   3.84226, -10.85466,  -0.10181,  19.66748,   9.40383,   4.56941,  18.93405,   9.53278,   5.13347,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01025, 245.00000,   4.56496,   9.96540,  -0.63501,  18.88244,  10.09784,   4.69996,  18.62887,   9.97297,   5.82911,   0.00000,   0.00000,   0.00000,   1.00000,   0.01025, 245.00000,   3.84231, -10.85466,  -0.10174,  19.66743,   9.40383,   4.56948,  18.93400,   9.53278,   5.13340,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01449, 246.00000,   4.56486,   9.96579,  -0.63524,  18.88255,  10.09824,   4.69973,  18.62897,   9.97336,   5.82934,   0.00000,   0.00000,   0.00000,   1.00000,   0.01449, 246.00000,   3.84235, -10.85466,  -0.10184,  19.66739,   9.40383,   4.56938,  18.93396,   9.53278,   5.13351,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.01861, 247.00000,   4.56496,   9.96610,  -0.63510,  18.88244,  10.09855,   4.69987,  18.62886,   9.97367,   5.82920,   0.00000,   0.00000,   0.00000,   1.00000,   0.01861, 247.00000,   3.84240, -10.85467,  -0.10189,  19.66734,   9.40383,   4.56933,  18.93391,   9.53278,   5.13355,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02276, 248.00000,   4.56486,   9.96647,  -0.63517,  18.88255,  10.09892,   4.69981,  18.62897,   9.97404,   5.82927,   0.00000,   0.00000,   0.00000,   1.00000,   0.02276, 248.00000,   3.84242, -10.85464,  -0.10182,  19.66732,   9.40381,   4.56940,  18.93389,   9.53276,   5.13348,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.02696, 249.00000,   4.56494,   9.96674,  -0.63517,  18.88246,  10.09919,   4.69980,  18.62888,   9.97431,   5.82928,   0.00000,   0.00000,   0.00000,   1.00000,   0.02696, 249.00000,   3.84249, -10.85461,  -0.10165,  19.66725,   9.40378,   4.56957,  18.93382,   9.53272,   5.13331,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03109, 250.00000,   4.56488,   9.96707,  -0.63493,  18.88252,  10.09952,   4.70004,  18.62895,   9.97464,   5.82903,   0.00000,   0.00000,   0.00000,   1.00000,   0.03109, 250.00000,   3.84253, -10.85457,  -0.10160,  19.66721,   9.40374,   4.56962,  18.93378,   9.53268,   5.13327,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
  1.00000,   0.03523, 251.00000,   4.56502,   9.96728,  -0.63451,  18.88238,  10.09973,   4.70046,  18.62880,   9.97485,   5.82862,   0.00000,   0.00000,   0.00000,   1.00000,   0.03523, 251.00000,   3.84250, -10.85453,  -0.10155,  19.66724,   9.40370,   4.56967,  18.93381,   9.53265,   5.13321,   0.00000,   0.00000,   0.00000,   1.00000,   1.00000, 
