trial , timeA , yA , zA , xA , yoA , piA , roA , yA-yt1 , zA-zt1 , xA-xt1 , yA-yt2 , zA-zt2 , xA-xt2 , hitA_t1 , hitA_t2 , hitA_final , trial , timeB , yB , zB , xB , yoB , piB , roB , yB-yt1 , zB-zt1 , xB-xt1 , yB-yt2 , zB-zt2 , xB-xt2 , hitB_t1 , hitB_t2 , hitB_final,expTime,waitTime,instructedTarget,Endtrialtime,absTime
  1.00000,  26.05688,  13.67194,  24.98056,  -2.07133, -86.69518,  26.10137, -86.68314,  46.65469,  23.68062,  11.88622,  47.44427,  23.60461,  15.35952,   0.00000,   0.00000,   0.00000,   1.00000,  26.05688,  10.74832, -29.04963,   0.00479,  94.44611, -15.53715, 104.76377,  48.82300,  26.42960,  13.81995,  48.73865,  26.80597,  13.38560,   0.00000,   0.00000,   0.00000,  26.40645,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.02154,  11.05408,  25.36594,  -2.09402, -87.08720,  23.76874, -93.51785,  49.27254,  24.06600,  11.86353,  50.06213,  23.98999,  15.38221,   0.00000,   0.00000,   0.00000,   1.00000,   0.02154,  10.73862, -29.07257,  -0.01114,  94.33576, -15.42869, 104.24961,  48.83270,  26.45254,  13.80402,  48.74835,  26.82891,  13.40153,   0.00000,   0.00000,   0.00000,  29.42112,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.02154,  11.05428,  25.36629,  -2.09366, -87.08584,  23.76770, -93.51936,  49.27235,  24.06635,  11.86389,  50.06193,  23.99034,  15.38185,   0.00000,   0.00000,   0.00000,   1.00000,   0.02154,  10.73877, -29.07259,  -0.01013,  94.33492, -15.42502, 104.24927,  48.83255,  26.45256,  13.80503,  48.74820,  26.82893,  13.40052,   0.00000,   0.00000,   0.00000,  29.42112,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.02154,  11.05359,  25.36685,  -2.09441, -87.08113,  23.76464, -93.52338,  49.27303,  24.06691,  11.86314,  50.06262,  23.99089,  15.38260,   0.00000,   0.00000,   0.00000,   1.00000,   0.02154,  10.73913, -29.07285,  -0.01115,  94.33310, -15.42830, 104.25098,  48.83219,  26.45282,  13.80400,  48.74784,  26.82920,  13.40155,   0.00000,   0.00000,   0.00000,  29.42112,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.02154,  11.05367,  25.36717,  -2.09393, -87.08056,  23.76401, -93.52939,  49.27295,  24.06723,  11.86363,  50.06254,  23.99122,  15.38211,   0.00000,   0.00000,   0.00000,   1.00000,   0.02154,  10.73839, -29.07320,  -0.01102,  94.32825, -15.42876, 104.24486,  48.83293,  26.45317,  13.80414,  48.74859,  26.82955,  13.40141,   0.00000,   0.00000,   0.00000,  29.42112,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.02154,  11.05378,  25.36742,  -2.09450, -87.08061,  23.76105, -93.53742,  49.27285,  24.06748,  11.86305,  50.06243,  23.99147,  15.38269,   0.00000,   0.00000,   0.00000,   1.00000,   0.02154,  10.73825, -29.07363,  -0.00993,  94.32538, -15.42540, 104.23785,  48.83307,  26.45360,  13.80523,  48.74872,  26.82998,  13.40032,   0.00000,   0.00000,   0.00000,  29.42112,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.02775,  11.05372,  25.36774,  -2.09479, -87.07915,  23.75852, -93.54176,  49.27290,  24.06780,  11.86277,  50.06249,  23.99179,  15.38297,   0.00000,   0.00000,   0.00000,   1.00000,   0.02775,  10.73842, -29.07396,  -0.01027,  94.32223, -15.42649, 104.23004,  48.83290,  26.45393,  13.80489,  48.74855,  26.83031,  13.40066,   0.00000,   0.00000,   0.00000,  29.42733,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.02809,  11.05403,  25.36790,  -2.09439, -87.08122,  23.75797, -93.54462,  49.27260,  24.06797,  11.86316,  50.06218,  23.99195,  15.38258,   0.00000,   0.00000,   0.00000,   1.00000,   0.02809,  10.73827, -29.07436,  -0.00968,  94.31952, -15.42624, 104.22160,  48.83305,  26.45433,  13.80548,  48.74870,  26.83071,  13.40007,   0.00000,   0.00000,   0.00000,  29.42764,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.03190,  11.05411,  25.36812,  -2.09493, -87.08031,  23.75485, -93.54864,  49.27252,  24.06818,  11.86262,  50.06210,  23.99217,  15.38312,   0.00000,   0.00000,   0.00000,   1.00000,   0.03190,  10.73782, -29.07491,  -0.00996,  94.31512, -15.42784, 104.21579,  48.83350,  26.45488,  13.80520,  48.74915,  26.83126,  13.40035,   0.00000,   0.00000,   0.00000,  29.43145,   2.98288,   1.00000,  30.48400, 
  1.00000,   0.03600,  11.05394,  25.36858,  -2.09508, -87.07765,  23.75517, -93.55721,  49.27269,  24.06864,  11.86248,  50.06227,  23.99263,  15.38326,   0.00000,   0.00000,   0.00000,   1.00000,   0.03600,  10.73802, -29.07518,  -0.00945,  94.31370, -15.42724, 104.21057,  48.83330,  26.45515,  13.80571,  48.74895,  26.83152,  13.39984,   0.00000,   0.00000,   0.00000,  29.43555,   2.98288,   1.00000,  30.48400, 
