vidName, trial , direction , samp , waittime , trialTime , frameShow , xB , yB , zB , XdistB_t1, YdistB_t1, ZdistB_t1, XdistB_t2 , YdistB_t2, ZdistB_t2, hitB_t1 , hitB_t2, yaw, pitch, roll, expTime, launchind_a, hitind_a, aHit, accuracy
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.40155 ,  1.00000 ,  0.51475 , 10.50540 ,-27.32624 ,-60.56958 , 24.51239 , 29.98599 ,-60.25566 , -2.80102 , 29.39858 ,  0.00000 ,  0.00000 , 93.64364 ,-19.76974 , 93.22870 , 54.71208 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.40179 ,  1.00000 ,  0.51596 , 10.50563 ,-27.32694 ,-60.56837 , 24.51261 , 29.98668 ,-60.25445 , -2.80080 , 29.39928 ,  0.00000 ,  0.00000 , 93.61533 ,-19.75757 , 93.23430 , 54.71231 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.40394 ,  1.00000 ,  0.51754 , 10.50511 ,-27.32753 ,-60.56679 , 24.51209 , 29.98728 ,-60.25287 , -2.80131 , 29.39987 ,  0.00000 ,  0.00000 , 93.60223 ,-19.74999 , 93.23447 , 54.71446 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.40807 ,  1.00000 ,  0.51764 , 10.50548 ,-27.32770 ,-60.56669 , 24.51246 , 29.98744 ,-60.25277 , -2.80095 , 29.40003 ,  0.00000 ,  0.00000 , 93.59386 ,-19.74756 , 93.23346 , 54.71859 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.41229 ,  1.00000 ,  0.51856 , 10.50543 ,-27.32799 ,-60.56577 , 24.51241 , 29.98773 ,-60.25184 , -2.80100 , 29.40032 ,  0.00000 ,  0.00000 , 93.58540 ,-19.74297 , 93.22852 , 54.72281 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.41644 ,  1.00000 ,  0.51814 , 10.50522 ,-27.32836 ,-60.56619 , 24.51220 , 29.98810 ,-60.25227 , -2.80121 , 29.40069 ,  0.00000 ,  0.00000 , 93.57973 ,-19.74327 , 93.22147 , 54.72696 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.42057 ,  1.00000 ,  0.51911 , 10.50562 ,-27.32803 ,-60.56522 , 24.51260 , 29.98777 ,-60.25129 , -2.80081 , 29.40036 ,  0.00000 ,  0.00000 , 93.58178 ,-19.74016 , 93.20745 , 54.73109 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.42482 ,  1.00000 ,  0.51976 , 10.50632 ,-27.32781 ,-60.56457 , 24.51330 , 29.98756 ,-60.25065 , -2.80011 , 29.40015 ,  0.00000 ,  0.00000 , 93.59258 ,-19.73889 , 93.18764 , 54.73533 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.42896 ,  1.00000 ,  0.52082 , 10.50668 ,-27.32772 ,-60.56351 , 24.51366 , 29.98747 ,-60.24959 , -2.79975 , 29.40006 ,  0.00000 ,  0.00000 , 93.60821 ,-19.73639 , 93.16275 , 54.73947 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
right_trial1_StartToStartPt_5_6_block3.mat ,121.00000 ,  2.00000 ,118.00000 ,  1.75999 ,  4.43307 ,  1.00000 ,  0.52020 , 10.50672 ,-27.32739 ,-60.56413 , 24.51370 , 29.98713 ,-60.25021 , -2.79970 , 29.39972 ,  0.00000 ,  0.00000 , 93.62668 ,-19.74060 , 93.13285 , 54.74359 , 32.00000 , 45.00000 ,  0.00000 ,  1.00000 ,
