vidName, trial , direction , samp , waittime , trialTime , frameShow , xB , yB , zB , XdistB_t1, YdistB_t1, ZdistB_t1, XdistB_t2 , YdistB_t2, ZdistB_t2, hitB_t1 , hitB_t2, yaw, pitch, roll, expTime, launchind_a, hitind_a, aHit, accuracy
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.59663 ,  1.00000 ,  1.59666 , 10.61830 ,-27.33614 ,-59.48767 , 24.62528 , 29.99588 ,-59.17375 , -2.68812 , 29.40847 ,  0.00000 ,  0.00000 , 87.89211 ,-22.06032 ,109.20488 , 43.77969 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.59687 ,  1.00000 ,  1.59639 , 10.61899 ,-27.33542 ,-59.48794 , 24.62597 , 29.99516 ,-59.17402 , -2.68744 , 29.40775 ,  0.00000 ,  0.00000 , 87.88112 ,-22.04562 ,109.27998 , 43.77993 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.59723 ,  1.00000 ,  1.59372 , 10.61954 ,-27.33479 ,-59.49061 , 24.62652 , 29.99453 ,-59.17669 , -2.68689 , 29.40712 ,  0.00000 ,  0.00000 , 87.86658 ,-22.03766 ,109.36522 , 43.78029 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.60147 ,  1.00000 ,  1.59322 , 10.61995 ,-27.33404 ,-59.49111 , 24.62693 , 29.99378 ,-59.17718 , -2.68648 , 29.40637 ,  0.00000 ,  0.00000 , 87.85053 ,-22.01892 ,109.45414 , 43.78453 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.60559 ,  1.00000 ,  1.59067 , 10.62075 ,-27.33333 ,-59.49367 , 24.62773 , 29.99308 ,-59.17974 , -2.68568 , 29.40567 ,  0.00000 ,  0.00000 , 87.83430 ,-22.00627 ,109.54980 , 43.78866 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.61939 ,  2.00000 ,  1.58437 , 10.62310 ,-27.33043 ,-59.49996 , 24.63008 , 29.99017 ,-59.18604 , -2.68333 , 29.40276 ,  0.00000 ,  0.00000 , 87.80248 ,-21.95835 ,109.84136 , 43.80245 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.62221 ,  2.00000 ,  1.58094 , 10.62360 ,-27.32967 ,-59.50339 , 24.63058 , 29.98941 ,-59.18946 , -2.68283 , 29.40200 ,  0.00000 ,  0.00000 , 87.79376 ,-21.94524 ,109.94664 , 43.80527 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.62647 ,  2.00000 ,  1.57899 , 10.62468 ,-27.32877 ,-59.50534 , 24.63166 , 29.98851 ,-59.19142 , -2.68174 , 29.40110 ,  0.00000 ,  0.00000 , 87.78628 ,-21.92730 ,110.05544 , 43.80953 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.63059 ,  2.00000 ,  1.57485 , 10.62552 ,-27.32784 ,-59.50949 , 24.63251 , 29.98759 ,-59.19556 , -2.68090 , 29.40018 ,  0.00000 ,  0.00000 , 87.77655 ,-21.91808 ,110.15982 , 43.81365 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.63484 ,  2.00000 ,  1.57300 , 10.62585 ,-27.32749 ,-59.51133 , 24.63284 , 29.98723 ,-59.19741 , -2.68057 , 29.39982 ,  0.00000 ,  0.00000 , 87.76286 ,-21.90456 ,110.25372 , 43.81791 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.63897 ,  3.00000 ,  1.57025 , 10.62675 ,-27.32709 ,-59.51408 , 24.63373 , 29.98683 ,-59.20016 , -2.67967 , 29.39942 ,  0.00000 ,  0.00000 , 87.75007 ,-21.89495 ,110.34692 , 43.82203 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.64306 ,  3.00000 ,  1.56797 , 10.62720 ,-27.32672 ,-59.51637 , 24.63418 , 29.98646 ,-59.20244 , -2.67922 , 29.39905 ,  0.00000 ,  0.00000 , 87.73599 ,-21.88113 ,110.44205 , 43.82612 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.64735 ,  3.00000 ,  1.56560 , 10.62884 ,-27.32595 ,-59.51873 , 24.63582 , 29.98570 ,-59.20480 , -2.67759 , 29.39829 ,  0.00000 ,  0.00000 , 87.72516 ,-21.86643 ,110.54092 , 43.83041 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.65146 ,  3.00000 ,  1.56205 , 10.62851 ,-27.32567 ,-59.52228 , 24.63549 , 29.98541 ,-59.20836 , -2.67791 , 29.39800 ,  0.00000 ,  0.00000 , 87.70900 ,-21.85424 ,110.64308 , 43.83452 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.65561 ,  4.00000 ,  1.55931 , 10.63022 ,-27.32478 ,-59.52502 , 24.63721 , 29.98452 ,-59.21109 , -2.67620 , 29.39711 ,  0.00000 ,  0.00000 , 87.70082 ,-21.83798 ,110.74849 , 43.83867 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.65985 ,  4.00000 ,  1.55756 , 10.63097 ,-27.32401 ,-59.52678 , 24.63795 , 29.98375 ,-59.21285 , -2.67546 , 29.39635 ,  0.00000 ,  0.00000 , 87.69213 ,-21.81730 ,110.85381 , 43.84291 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.66397 ,  4.00000 ,  1.55370 , 10.63163 ,-27.32327 ,-59.53063 , 24.63861 , 29.98301 ,-59.21671 , -2.67480 , 29.39560 ,  0.00000 ,  0.00000 , 87.68403 ,-21.80301 ,110.96091 , 43.84703 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
right_trial22_StartToStartPt_1_2_block3.mat , 41.00000 ,  2.00000 ,162.00000 ,  1.57473 ,  4.66805 ,  4.00000 ,  1.55060 , 10.63230 ,-27.32248 ,-59.53373 , 24.63928 , 29.98223 ,-59.21981 , -2.67413 , 29.39482 ,  0.00000 ,  0.00000 , 87.67645 ,-21.78442 ,111.07189 , 43.85111 , 35.00000 , 51.00000 ,  0.00000 ,  1.00000 ,
