trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   6.00000,   2.25498,   0.03204, 1363.00000,  -0.11400,   3.73582, -11.07982,  21.68903,  21.71582,   0.00000,   0.00000,   0.00578,  -0.00017,  -0.02182, 498.74735, 721.01029,  10.02182, 520.08892, 492.61379,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.04879, 1370.00000,  -0.11455,   3.73569, -11.07745,  21.68800,  21.71502,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.07561, 1377.00000,  -0.11535,   3.73560, -11.07664,  21.68755,  21.71494,   0.00000,   0.00000,   0.00865,  -0.00042,  -0.03490, 498.65540, 721.01675,  10.03490, 520.13148, 492.59066,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09310, 1381.00000,  -0.11583,   3.73576, -11.07642,  21.68721,  21.71482,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09633, 1382.00000,  -0.11613,   3.73580, -11.07635,  21.68708,  21.71483,   0.00000,   0.00000,   0.00934,  -0.00085,  -0.04655, 498.63337, 721.02774,  10.04655, 520.15035, 492.59407,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10043, 1383.00000,  -0.11642,   3.73586, -11.07631,  21.68695,  21.71483,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10465, 1384.00000,  -0.11658,   3.73611, -11.07626,  21.68667,  21.71463,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10878, 1385.00000,  -0.11681,   3.73629, -11.07623,  21.68644,  21.71451,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11297, 1386.00000,  -0.11705,   3.73663, -11.07617,  21.68607,  21.71425,   0.00000,   0.00000,   0.00864,  -0.00137,  -0.05616, 498.65589, 721.04117,  10.05616, 520.15369, 492.61397,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11715, 1387.00000,  -0.11734,   3.73688, -11.07613,  21.68577,  21.71409,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12129, 1388.00000,  -0.11757,   3.73684, -11.07617,  21.68577,  21.71420,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12539, 1389.00000,  -0.11788,   3.73721, -11.07614,  21.68537,  21.71394,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12976, 1390.00000,  -0.11829,   3.73728, -11.07616,  21.68522,  21.71399,   0.00000,   0.00000,   0.00599,  -0.00212,  -0.06127, 498.74085, 721.06029,  10.06127, 520.13736, 492.65912,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13376, 1391.00000,  -0.11864,   3.73744, -11.07618,  21.68502,  21.71394,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13789, 1392.00000,  -0.11886,   3.73743, -11.07617,  21.68498,  21.71400,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
