trial , dir , samp , waittime , time , frame , xB , yB , zB , distB_t1, distB_t2 , hitB_t1 , hitB_t2 , XA , YA , ZA , XAsc , YAsc , ZAsc , distA_t1, distA_t2 , hitA_t1 , hitA_t2
  1.00000,   2.00000,   6.00000,   2.25498,   0.01602, 1587.00000,   0.08761,   3.59263, -10.65101,  22.68572,  22.45966,   0.00000,   0.00000,   0.00578,  -0.00017,  -0.02182, 503.08967, 714.99866,  10.02182, 514.24013, 489.23923,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.03253, 1595.00000,   0.08900,   3.59269, -10.65112,  22.68602,  22.45935,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.05924, 1601.00000,   0.09094,   3.59321, -10.65160,  22.68617,  22.45865,   0.00000,   0.00000,   0.00865,  -0.00042,  -0.03490, 502.99781, 715.00505,  10.03490, 514.28364, 489.21675,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.07652, 1605.00000,   0.09424,   3.59331, -10.65228,  22.68709,  22.45812,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.07809, 1606.00000,   0.09542,   3.59335, -10.65253,  22.68741,  22.45793,   0.00000,   0.00000,   0.00934,  -0.00085,  -0.04655, 502.97579, 715.01593,  10.04655, 514.30259, 489.22025,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.08180, 1607.00000,   0.09641,   3.59328, -10.65280,  22.68780,  22.45788,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.08593, 1608.00000,   0.09721,   3.59322, -10.65304,  22.68813,  22.45785,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09012, 1609.00000,   0.09825,   3.59312, -10.65329,  22.68854,  22.45781,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09458, 1610.00000,   0.09935,   3.59312, -10.65354,  22.68889,  22.45767,   0.00000,   0.00000,   0.00864,  -0.00137,  -0.05616, 502.99830, 715.02921,  10.05616, 514.30547, 489.23987,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.09850, 1611.00000,   0.10053,   3.59310, -10.65379,  22.68927,  22.45753,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10254, 1612.00000,   0.10174,   3.59283, -10.65405,  22.68989,  22.45762,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.10673, 1613.00000,   0.10284,   3.59289, -10.65413,  22.69011,  22.45735,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11108, 1614.00000,   0.10345,   3.59287, -10.65430,  22.69032,  22.45730,   0.00000,   0.00000,   0.00599,  -0.00212,  -0.06127, 503.08318, 715.04812,  10.06127, 514.28790, 489.28422,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11505, 1615.00000,   0.10463,   3.59292, -10.65442,  22.69059,  22.45704,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.11928, 1616.00000,   0.10548,   3.59274, -10.65460,  22.69101,  22.45709,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12348, 1617.00000,   0.10633,   3.59276, -10.65468,  22.69121,  22.45692,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.12764, 1618.00000,   0.10711,   3.59283, -10.65475,  22.69135,  22.45672,   0.00000,   0.00000,   0.00354,  -0.00249,  -0.06335, 503.16145, 715.05760,  10.06335, 514.26445, 489.31756,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13170, 1619.00000,   0.10819,   3.59297, -10.65483,  22.69150,  22.45638,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.13589, 1620.00000,   0.10888,   3.59313, -10.65491,  22.69154,  22.45612,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.14005, 1621.00000,   0.10940,   3.59320, -10.65502,  22.69163,  22.45599,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.14428, 1622.00000,   0.11016,   3.59327, -10.65515,  22.69179,  22.45582,   0.00000,   0.00000,   0.00210,  -0.00288,  -0.06285, 503.20747, 715.06752,  10.06285, 514.25463, 489.34131,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.14844, 1623.00000,   0.11098,   3.59344, -10.65522,  22.69185,  22.45551,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.15253, 1624.00000,   0.11183,   3.59358, -10.65531,  22.69196,  22.45524,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.15684, 1625.00000,   0.11247,   3.59374, -10.65538,  22.69198,  22.45499,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.16096, 1626.00000,   0.11321,   3.59408, -10.65542,  22.69186,  22.45454,   0.00000,   0.00000,   0.00255,  -0.00304,  -0.06095, 503.19329, 715.07169,  10.06095, 514.26425, 489.34086,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.16512, 1627.00000,   0.11409,   3.59409, -10.65554,  22.69210,  22.45439,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.16922, 1628.00000,   0.11515,   3.59429, -10.65554,  22.69215,  22.45398,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.17342, 1629.00000,   0.11590,   3.59427, -10.65551,  22.69232,  22.45382,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.17758, 1630.00000,   0.11654,   3.59428, -10.65536,  22.69239,  22.45360,   0.00000,   0.00000,   0.00437,  -0.00278,  -0.05798, 503.13503, 715.06499,  10.05798, 514.28202, 489.31637,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.18186, 1631.00000,   0.11746,   3.59434, -10.65504,  22.69242,  22.45322,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.18589, 1632.00000,   0.11830,   3.59429, -10.65473,  22.69252,  22.45295,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.19008, 1633.00000,   0.11883,   3.59423, -10.65438,  22.69255,  22.45274,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.19422, 1634.00000,   0.11951,   3.59432, -10.65396,  22.69245,  22.45234,   0.00000,   0.00000,   0.00702,  -0.00222,  -0.05404, 503.05017, 715.05074,  10.05404, 514.30383, 489.27645,   0.00000,   0.00000, 
  1.00000,   2.00000,   6.00000,   2.25498,   0.19846, 1635.00000,   0.12041,   3.59442, -10.65348,  22.69236,  22.45185,   0.00000,   0.00000,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN,       NaN, 
